ResponseId,Trigger,Trigger Intermediate,Uniqueness Trigger,Full Uniqueness description,Action Intermediate,Action,,Full Uniqueness description,Intersection: 0 = common; 1 = unique ,,,note,
R_3qKCsRG4pSRYX2c,a Smoke Detector battery lower than 10%,smoke_detector.batteryLevel < 0.1,low battery in smoke detector,if (low battery in smoke detector) then (notify phone),notify_phone,warn user of low battery status,,if (low battery in smoke detector) then (notify phone),1,,,,
R_3qKCsRG4pSRYX2c,a Smoke Detector is tampered,smoke_detector.isTampered == true,smoke detector is tampered,if (smoke detector is tampered) then (notify phone),notify_phone,warn user of the situation,,if (smoke detector is tampered) then (notify phone),1,,,,
R_3qKCsRG4pSRYX2c,a Doorbell rings,"doorbell.state == ""open""",doorbell ring,if (doorbell ring) then (camera on),security_camera.on,switch on Security Camera,,if (doorbell ring) then (camera on),1,,,,
R_3qKCsRG4pSRYX2c,in Away mode AND a Light Bulb is on,"location.mode == ""away"" && light_blub.state == ""on""",away and light on,if (away and light on) then (light off),light_bulb.off,switch off the Light Bulb,,if (away and light on) then (light off),1,,,,
R_3qKCsRG4pSRYX2c,it's 12:00 a.m. AND an Air Conditioner is on,"time == 1200 && air_conditioner.state == ""on""",midnight and ac on,if (midnight and ac on) then (ac off),ac.off,switch off the Air Conditioner,,if (midnight and ac on) then (ac off),1,,,,
R_3qKCsRG4pSRYX2c,in Away mode,"location.mode == ""away""",away,if (away) then (lock door),door_lock.lock,lock the Door Lock,,if (away) then (lock door),0,Lock It When I Leave,,,
R_3qKCsRG4pSRYX2c,in Home mode,"location.mode == ""home""",home,if (home) then (set ac),"ac.setAirConditionerMode = ""auto""",setAirConditionerMode(auto),,if (home) then (set ac),1,,,,
R_3qKCsRG4pSRYX2c,it's 12:00 a.m.,time == 1200,midnight,if (midnight) then (mute audio player),audio_player.setMute(),setMute(Audio_Player),,if (midnight) then (mute audio player),1,,,no audio player,
R_e5I5j0VOCC4acet,carbonMonoxide value of CO Detector is > 0,co.level > 0,detected co,if (detected co) then (set alarm),"security_alarm.setAlarmMode = ""both""",execute alarm (both mode by default) | call emergency services | and alert me via phone notification,,if (detected co) then (set alarm),0,CO2 Vent,,,
R_e5I5j0VOCC4acet,I leave my home,"location.mode == ""away""",away,if (away) then (set thermostat),thermostat.setHeatingSetpoint = 79,set temperature value of Thermostat to 79 degrees,,if (away) then (set thermostat),0,Keep Me Cozy,,,
R_e5I5j0VOCC4acet,someone rings the Doorbell,"doorbell.state == ""open""",doorbell ring,if (doorbell ring) then (notify phone),notify_phone,alert me via house's Doorbell sound and via phone notification,,if (doorbell ring) then (notify phone),1,,,,
R_e5I5j0VOCC4acet,it is morning and weather report shows no rain,"time == ""morning"" && weather_station == ""no rain""",morning and no rain,if (morning and no rain) then (sprinkler on),sprinkler.on,switch Sprinkler on,,if (morning and no rain) then (sprinkler on),1,,,no sunny day,
R_e5I5j0VOCC4acet,energy value of Energy Meter for any device is > average,energy_meter.value > average,energy more than average,if (energy more than average) then (notify phone),notify_phone,alert me via phone notification,,if (energy more than average) then (notify phone),0,Energy Alerts,,,
R_e5I5j0VOCC4acet,I leave my home and Door Lock is unlocked,"location.mode == ""away"" && door_lock.state == ""unlocked""",away and door is unlocked,if (away and door is unlocked) then (lock door),door_lock.lock,set Door Lock to lock,,if (away and door is unlocked) then (lock door),0,Beacon Control,,,
R_e5I5j0VOCC4acet,shock value of Glass Break Detector is true,"glass_break_detector.state == ""shock""",glass break,if (glass break) then (camera on),security_camera.on,toggle Security Camera on,,if (glass break) then (camera on),1,,,,
R_e5I5j0VOCC4acet,home is in Vacation mode,"location.mode == ""vacation""",vacation,if (vacation) then (camera on and set alarm),"security_camera.on; security_alarm.setAlarmMode = ""both""",toggle Security Camera on AND set Security Alarm mode to both,,if (vacation) then (camera on and set alarm),0,Cameras On When I'm Away,only camera on,,
R_e5I5j0VOCC4acet,odorLevel value of Gas Sensor is > safe level,gas_sensor.ordorLevel > threshold,sensed gas,if (sensed gas) then (set alarm),"security_alarm.setAlarmMode = ""both""",toggle alarm (both mode by default) | call emergency services and alert me via phone notification,,if (sensed gas) then (set alarm),1,,,no gas detector,
R_e5I5j0VOCC4acet,water value of Water Leak Detector is wet,"water_leak_detector.state == ""wet""",water leak,if (water leak) then (set alarm),"security_alarm.setAlarmMode = ""both""",toggle alarm (both mode by default) and alert me via phone notification,,if (water leak) then (set alarm),0,Flood Alert!,,,
R_e5I5j0VOCC4acet,machineState value of Clothes Dryer is Running AND temperature value of LaundryRoom_TemperatureSensor is > average temperature value,"cloth_dryer.state == ""on"" && temp_sensor_laundryRoom > average",dryer running and high temperature,if (dryer running and high temperature) then (pause dryer),"dryer.setMachineState(""paused"")",set machineState value of Clothes Dryer to Paused,,if (dryer running and high temperature) then (pause dryer),1,,,no dryer or washer,
R_XBxgGATwfO82TDz,"the value of ""temperature"" is less than 70",temp_sensor.temperature < 70,low temperature,if (low temperature) then (set ac and water heater on),"ac.setAirConditionerMode = ""heat""; water_heater.on",Set the device Air Conditioner in heat mode AND set the device Water Heater to Switch On,,if (low temperature) then (set ac and water heater on),0,It's Too Cold,,,
R_XBxgGATwfO82TDz,"it is night and ""temperature"" of device ""Electric Blanket"" is less than 70","time == ""night"" && electric_blanket.temperature < 70",night and low temperature in electric blanket,if (night and low temperature in electric blanket) then (blanket on),electric_blanket.on,Switch on the Electric Blanket,,if (night and low temperature in electric blanket) then (blanket on),1,,,,
R_XBxgGATwfO82TDz,it is night and time is after 9PM,"time == ""night"" && time > 2100",night and after 9pm,if (night and after 9pm) then (change bulb color),bulb.setColorValue(soft_white),"set colorValue of device ""Light Bulb"" to Soft White",,if (night and after 9pm) then (change bulb color),0,Notify Me With Hue,,,
R_XBxgGATwfO82TDz,time is 6AM,time == 600,morning,if (morning) then (bulb off),bulb.off,set the device Light Bulb to switch off,,if (morning) then (bulb off),0,Notify Me With Hue,,,
R_XBxgGATwfO82TDz,time is 6PM,time == 1800,afternoon,if (afternoon) then (bulb on and change bulb color),bulb.on; bulb.setColorValue(day_white),set the device Light Bulb to switch on and set ColorValue of Device Light Bulb to Day White,,if (afternoon) then (bulb on and change bulb color),0,Notify Me With Hue,,,
R_XBxgGATwfO82TDz,"odorLevel detected by device ""Gas Sensor"" is high",gas_sensor.ordorLevel > threshold,high ordorLevel,if (high ordorLevel) then (set alarm both),"security_alarm.setAlarmMode = ""both""",setAlarmMode=both,,if (high ordorLevel) then (set alarm both),1,,,no ordor sensor,
R_XBxgGATwfO82TDz,"odorLevel detected by device ""Gas Sensor"" is low",gas_sensor.ordorLevel < threshold,low ordorLevel,if (low ordorLevel) then (set alarm off),"security_alarm.setAlarmMode = ""off""",setAlarmMode=off,,if (low ordorLevel) then (set alarm off),1,,,,
R_XBxgGATwfO82TDz,"humidity detected by device ""Humidity Sensor"" is high",humidity_sensor.humidity > threshold,high humidity,if (high humidity) then (set ac dryClean),"ac.setAirConditionerMode = ""dryClean""",set mode of device Air Conditioner to dryClean mode,,if (high humidity) then (set ac dryClean),0,Humidity Alert!,,,
R_XBxgGATwfO82TDz,value of smoke is detected by device Smoke Detector and value of temperature is above FireThreshold,"smoke_detector.state == ""smoke"" && temp_sensor.temperature > fire_threshold",smoke and high temperature,if (smoke and high temperature) then (set alarm both),"security_alarm.setAlarmMode = ""both""",trigger alarm,,if (smoke and high temperature) then (set alarm both),1,,,,
R_XBxgGATwfO82TDz,value of tamper by device Smoke Detector is tampered,smoke_detector.isTampered == true,smoke detector is tampered,if (smoke detector is tampered) then (notify phone),notify_phone,send sms alerting to check,,if (smoke detector is tampered) then (notify phone),1,,,,
R_XBxgGATwfO82TDz,value of battery by device Smoke Detector is low,smoke_detector.batteryLevel < low_battery_threshold,low battery in smoke detector,if (low battery in smoke detector) then (notify phone),notify_phone,send sms alerting to change,,if (low battery in smoke detector) then (notify phone),1,,,,
R_XBxgGATwfO82TDz,value of airQuality by device Air Purifier is low,air_purifier.quality < threshold,low air quality,if (low air quality) then (air purifier on),air_purifier.on,set the device to switch on,,if (low air quality) then (air purifier on),0,Humidity Alert!,,,
R_XBxgGATwfO82TDz,value of airQuality by device Air Purifier is high,air_purifier.quality > threshold,high air quality,if (high air quality) then (air purifier off),air_purifier.off,set the device to switch off,,if (high air quality) then (air purifier off),0,Humidity Alert!,,,
R_TtvbKMXO7AtmGm5,temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),temp_sensor.temperature <= 70 && ((time >= 900 && time <= 1700) || (time >= 2100 && time < 700)),low temperature during the day and sleeping time,if (low temperature during the day and sleeping time) then (set ac),ac.setLevel = 75,setLevel 75 degrees,,if (low temperature during the day and sleeping time) then (set ac),0,It's Too Cold,,,
R_TtvbKMXO7AtmGm5,time == 7am and daye between Monday and Friday,time == 700 && (time.day in weekday),morning and weekday,if (morning and weekday) then (coffee maker on and bedroom light on and robot vacuum auto),"coffee_maker.on; bedroom_light.on; robot_vaccum.setRobotCleanerCleaningMode = ""Auto""",coffeeMaker switch ON and Bedroom light bulb switch ON and setRobotCleanerCleaningMode Auto,,if (morning and weekday) then (coffee maker on and bedroom light on and robot vacuum auto),0,Smart turn it on,,,
R_2V8EmuCerybqm6E,threeAxis is within 100 feet of the house,presence_senor == true,presence and open garage door,if (detect presence) then (open garage door),garage_door.open,open garage door,,if (detect presence) then (open garage door),0,Ridiculously Automated Garage Door,,,
R_2V8EmuCerybqm6E,shock detected,glass_break_detector == true,glass break,if (glass break) then (set alarm both),"security_alarm.setAlarmMode = ""both""",trigger security alarm,,if (glass break) then (set alarm both),1,,,,
R_2V8EmuCerybqm6E,motion sensor detects motion outside,motion_sensor ==true,motion,if (motion) then (camer on),security_camera.on,security camera switch on,,if (motion) then (camer on),1,,,,
R_2V8EmuCerybqm6E,if (motion) then (camera on),gas_sensor.ordorLevel > threshold,high ordorLevel,if (high ordorLevel) then (set alarm both),"security_alarm.setAlarmMode = ""both""",setAlarmMode(both),,if (high ordorLevel) then (set alarm both),1,,,,
R_2V8EmuCerybqm6E,device enters room with light AND light is already off,"room_presence_senor == true && light.state == ""off""",enters room and no light,if (enters room and no light) then (light on),light.on,light switch on,,if (enters room and no light) then (light on),0,Light Follows Me,Turn your lights on when motion is detected and then off again once the motion stops for a set period of time.,,
R_2V8EmuCerybqm6E,device exits room with light AND light is already on,"room_presence_senor == false && light.state == ""on"" (location.mode == ""away"")",no motion in room and lights on,if (no motion in room and lights on) then (light off),light.off,light switch off,,if (no motion in room and lights on) then (light off),0,Light Follows Me,Turn your lights on when motion is detected and then off again once the motion stops for a set period of time.,,
R_vZxAGf1fnmXrXpf,LivingRoom_BeaconDevice presence equals true,living_room_beacon_device.presence ==true,detect device nearby in living room,if (detect device nearby in lvining room) then (tv on),smart_tv.on,Switch on Smart TV,,if (detect device nearby in lvining room) then (tv on),0,Beacon Control,,,
R_vZxAGf1fnmXrXpf,LivingRoom_BeaconDevice presence equal false,living_room_beacon_device.presence ==false,did not detect nearby in living room,if (did not detect nearby in living room) then (tv off),smart_tv.off,Switch off Smart TV,,if (did not detect nearby in living room) then (tv off),0,Beacon Control,,,
R_vZxAGf1fnmXrXpf,Kitchen_BeaconDevice presence equals true,kitchen_beacon_device.presence == true,detect device nearby in kitchen,if (detect device nearby in kitchen) then (kitchen speaker on),kitchen_speaker.on,Switch on Audio Player through kitchen speakers,,if (detect device nearby in kitchen) then (kitchen speaker on),0,Beacon Control,,,
R_vZxAGf1fnmXrXpf,Kitchen_BeaconDevice presence equals true (false?),kitchen_beacon_device.presence == false,did not detect nearby in kitchen,if (did not detect nearby in kitchen) then (kitchen speaker off),kitchen_speaker.off,Switch off Audio Player through kitchen speakers,,if (did not detect nearby in kitchen) then (kitchen speaker off),0,Beacon Control,,,
R_vZxAGf1fnmXrXpf,If Home BeaconDevice presence equals true,home_beacon_device.presence == true,detect device nearby in home,if (detect device nearby in home) then (home),"location.mode = ""Home""",Set Mode to Home,,if (detect device nearby in home) then (home),0,Beacon Control,,,
R_vZxAGf1fnmXrXpf,If Mode equals Home,"location.mode == ""home""",home,if (home) then (set thermostat cool and robot vacuum off),thermostat.setCoolingSetpoint = 70; robot_vaccum.off,Set Thermostat coolingSetPoint to 70 | switch off Robot Vacuum,,if (home) then (set thermostat cool and robot vacuum off),0,Make it So,,,
R_vZxAGf1fnmXrXpf,If Home BeaconDevice presence equals false,kitchen_beacon_device.presence == false,did not detect nearby in home,if (did not detect nearby in home) then (away),"location.mode = ""Away""",Set Mode to Away,,if (did not detect nearby in home) then (away),1,,,,
R_vZxAGf1fnmXrXpf,If Mode equals Away,"location.mode == ""away""",away,"if (away) then (set thermostat cooling range, remote off, lock door and turn on robot vacuum)","thermostat.coolingSetPointRange(70,75); lighting_remote.off; door_lock.lock;robot_vaccum.on",Set Thermostat to coolingSetPointRange to 70-75 | switch off Lighting Remote | lock Door Lock | switch on Robot Vacuum,,"if (away) then (set thermostat cooling range, remote off, lock door and turn on robot vacuum)",0,Keep Me Cozy,Make it so,,
R_vZxAGf1fnmXrXpf,If Time equals sunset,"time == ""sunset""",sunset,if (sunset) then (bulb on and close blind),bulb.on; blind.close,Turn on Light Bulbs | Shades/Blinds windowShade close,,if (sunset) then (bulb on and close blind),0,Bright When Dark And/Or Bright After Sunset,,,
R_vZxAGf1fnmXrXpf,If Bedroom_Button pressed,bedroom_button.pressed == true,bedroom button pressed,if (bedroom button pressed) then (night),"location.mode = ""Night""",Switch mode to Night,,if (bedroom button pressed) then (night),0,Sleepy Time,,,
R_vZxAGf1fnmXrXpf,If mode equal Night,"time == ""night""",night,if (night) then (bulbs off and set thermostat cooling point),bulbs.off; thermostat.setCoolingSetpoint = 68 ,Turn off all Light Bulbs | Set Thermostat to coolingSetPoint 68,,if (night) then (bulbs off and set thermostat cooling point),0,Keep Me Cozy,,,
R_vZxAGf1fnmXrXpf,If Alarm Clock hits alarm,time == alarm_time,alarm time,if (alarm time) then (home and open shade),"location.mode = ""Home""; shade.open",Switch mode to Home | Shades/Blinds windowShade open,,if (alarm time) then (home and open shade),0,Smart turn it on,,,
R_3HwfvIbwXM8I4G6,CarAutomation(Presence) == True,car_automation.presence == true,detected car nearby,if (detected car nearby) then (open garage door),garageDoorOpener.open,GarageDoorOpener(door) = open,,if (detected car nearby) then (open garage door),0,Ridiculously Automated Garage Door,,,
R_3HwfvIbwXM8I4G6,GarageDoorOpener(rssi) == low,garage_door_opener.rssi < threshold,low signal strength in garage door opener,if (low signal strength in garage door opener) then (close garage door),garageDoorOpener.close,GarageDoorOpener(door) = close,,if (low signal strength in garage door opener) then (close garage door),0,Ridiculously Automated Garage Door,,,
R_3HwfvIbwXM8I4G6,TimeOfDay == 8:30 am,time == 830,morning,if (morning) then (coffee maker on),coffee_maker.on,CoffeeMaker(switch) = on,,if (morning) then (coffee maker on),0,Smart turn it on,,,
R_3HwfvIbwXM8I4G6,CoffeeMaker(temperature) > 100,coffeeMaker.temperature > 100,high coffee maker temperature,if (high coffee maker temperature) then (coffee maker off),coffee_maker.off,CoffeeMaker(switch) = off,,if (high coffee maker temperature) then (coffee maker off),1,,,,
R_3HwfvIbwXM8I4G6,AirConditioner(temperature) > 75,temp_sensor.temperature > 75,high temperature,if (high temperature) then (ac on),ac.on,AirConditioner(switch) = on,,if (high temperature) then (ac on),0,Thermostat Mode Director,,,
R_3HwfvIbwXM8I4G6,AirConditioner(temperature) < 65,temp_sensor.temperature < 65,low temperature,if (low temperature) then (ac off),ac.off,AirConditioner(switch) = off,,if (low temperature) then (ac off),0,Thermostat Mode Director,,,
R_3HwfvIbwXM8I4G6,SmokeDetector(smoke) = true,smoke_detector == true,smoke,if (smoke) then (set alarm both),"security_alarm.setAlarmMode = ""both""",SecurityAlarm.alarm(),,if (smoke) then (set alarm both),1,,,,
R_3HwfvIbwXM8I4G6,buttonUpPush == true,buttonUpPush.pressed == true,pressed a button,if (pressed a button) then (tv channel up),tv.setTvChannel(channelUp),tvChannel.setTvChannel(channelUp),,if (pressed a button) then (tv channel up),1,,,no tv,
R_3HwfvIbwXM8I4G6,buttonDownPush == true,buttonDownPush.pressed == true,pressed a button,if (pressed a button) then (tv channel down),tv.setTvChannel(channelDown),tvChannel.setTvChannel(channelDown),,if (pressed a button) then (tv channel down),1,,,,
R_3HwfvIbwXM8I4G6,IlluminanceSensor(level) < 5,illuminanceSensor.level < 5,low light,if (low light) then (light on),front_light.on,FrontDoor_LightBulb(switch) = on,,if (low light) then (light on),0,Light Up the Night,,,
R_3HwfvIbwXM8I4G6,IlluminanceSensor(level) > 5,illuminanceSensor.level < 5,high light,if (high light) then (light off),front_light.off,FrontDoor_LightBulb(switch) = off,,if (high light) then (light off),0,Light Up the Night,,,
R_3HwfvIbwXM8I4G6,"Refridgerator_WaterFilter(checkFilter) == ""replace""","refridgerator_water_filter.filterStatus == ""replace""","refrigerator water filter status ""replace""","if (refridgerator water filter status ""replace"") then (notify phone)","notify_phone(""Replace Water Filter"")","sendSMS(""Replace Water Filter"")",,"if (refridgerator water filter status ""replace"") then (notify phone)",1,,,,
R_d6yGcdEpFCkNxlf,it is night AND I am in the house,"time == ""night"" && location.mode == ""home""",home and night,if (home and night) then (bulb on),bulb.on,switch on the Light Bulb,,if (home and night) then (bulb on),0,"Changes the color and brightness of Philips Hue bulbs when any of a variety of SmartThings is activated. Supports motion, contact, acceleration, moisture and presence sensors as well as switches.",,,
R_d6yGcdEpFCkNxlf,Temperature < 68 OR Temperature > 80,temp_sensor.temperature < 68 || temp_sensor.temperature > 80,high or low temperature,if (high or low temperature) then (ac on),ac.on,Turn on the Air Conditioner,,if (high or low temperature) then (ac on),0,,,,
