UserId,Number,ResponseId,Trigger,Trigger Devices Copy,Trigger Capabilities,Trigger variables copy,Action,Action Devices,Action Capabilities,Action Variables Copy,Action Inputs,Extra Comment,Frequency,Weeks,Time,Schedule,Execution Indicator,Trigger Conditions
3,11,r-28cvlcphkagj20n,current temperature is less than or greater than 70,Thermostat,temperature,lesser,switch on electric blanket,Electric Blanket,thermostat,on,thermostat1.heat(),,FD,Anytime,"17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [0, 17], [], [19, 20], [], [], [1, 2, 19], [], [], [1, 17, 19], [0, 17, 19], [1, 17], [4, 17, 19], [2, 3, 17, 18], [3, 19], [], [], [18, 21], [2, 17, 18, 23], [], [2, 18], [17, 19, 21], [19, 20], [], [1, 17, 19, 23], [1, 18], [0, 18, 20], []]",t_temperatureMeasurement1.currentTemperature.toInteger() <= 72
3,12,r-28cvlcphkagj20n,house_temperature < 70,Thermostat,temperature,lesser,setAirConditionerMode of Air_Conditioner  = heat AND setLevel = 70,Air Conditioner,thermostat,heat,thermostat1.setHeatingSetpoint(70),,MD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [9, 10, 15, 18], [3, 7, 8, 15, 18, 21], [2, 3, 14, 20, 21], [2, 10, 11, 17, 18, 19], [0, 1, 9, 15, 16, 23], [], [0, 1, 3, 4, 7, 13, 14, 19], [1, 3, 5, 6, 12, 13, 14, 16, 21], [5, 9, 10, 12, 14, 19, 21], [], [], [], [0, 5, 6, 8, 18], [3, 4, 18, 19], [], [], [2, 10, 16], [], [1, 7, 13, 22], [], [1, 3, 21, 23], [4, 5, 9, 11, 15, 16, 18, 22], [], [1, 2, 4, 8, 10, 11, 15, 17, 19], [2, 3, 4, 6, 9, 10, 18, 19, 22, 23], [], [2, 6, 7, 11, 14, 15, 22, 23]]",t_temperatureMeasurement1.currentTemperature.toInteger() < 70
3,13,r-28cvlcphkagj20n,house_temperature >70,Thermostat,temperature,greater,setAirConditionerMode of Air Conditioner to cool AND setLevel of  70,Air Conditioner,thermostat,cool,thermostat1.setCoolingSetpoint(70),,MD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [2, 3, 5, 6, 7, 10, 14, 17, 22], [1, 6, 11, 16, 18, 19], [], [2, 6, 8, 10, 12, 18, 22], [], [1, 4, 9, 11, 12, 18, 19, 20, 22], [], [], [0, 3, 13, 19, 21, 22, 23], [7, 11, 12, 13, 14, 17, 18, 20], [2, 5, 6, 13, 15, 16, 22], [1, 9, 10, 12, 15, 21, 22], [], [], [], [], [], [], [], [], [1, 2, 3, 8, 16, 18, 19, 20], [], [3, 20, 22], [8, 11, 12, 16, 18, 19, 21, 23], [2, 3, 4, 6, 10, 14, 18, 19, 20, 22], []]",t_temperatureMeasurement1.currentTemperature.toInteger() > 70
3,14,r-28cvlcphkagj20n,moisture_state = wet,Moisture Sensor,water,wet,setAlarmMode of Security Alarm to Strobe,Security Alarm,alarm,strobe,alarm1.strobe(),,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [5, 10, 13, 14], [], [], [], [], [4, 8], [], [], [18], [], [], [], [], [0, 13, 16, 21, 22], [], [3], [21], [9], [], [], [0, 2, 20, 23], [], [], [], []]",t_waterSensor1.water == 'wet'
3,15,r-28cvlcphkagj20n,smoke of Smoke Detector is true,Smoke Detector,smoke,detected,setAlarmMode of Security Alarm to Siren,Security Alarm,alarm,siren,alarm1.siren(),,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [8, 10, 23], [1, 4, 14, 17], [], [], [], [], [], [], [8, 23], [], [], [], [], [], [], []]",t_smokeDetector1.smoke == 'smoke'
3,16,r-28cvlcphkagj20n,Doorbell is pushed,Doorbell,button,pushed,switch Security Camera on,Security Camera,switch,on,switch1.on(),,MD,Anytime,anytime,Manually-triggered (e.g. |  a button press),"[[], [], [], [4, 7, 9, 11, 13], [], [], [1, 8, 9, 10, 20], [], [], [3, 4, 11, 15, 16, 17], [0, 5, 12, 16, 18, 21], [], [], [6, 11, 16, 17, 18, 22], [], [1, 6, 7, 10, 11, 23], [], [], [9, 10, 13, 14, 19, 20, 22], [], [1, 2, 4, 6, 11, 12, 16, 18, 19, 23], [8, 10, 15, 19, 23], [], [], [], [], [], []]",t_button1.button == 'open'
3,17,r-28cvlcphkagj20n,time is 11:00 PM,Night,switch,on,lock Door Lock,Door Lock,lock,lock,lock1.lock(),,FD,Anytime,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [], [23], [23], [23], [23], [23], [23], [], [23], [], [23], [23], [23], [23], [23], [], [23], [23], [], [23], [], [23], [], [], []]",t_switch1.switchState.getValue() == 'on'
3,18,r-28cvlcphkagj20n,shock of Glass Break Detector,Glass Break Detector,shock,detected,setAlarmMode of Security Alarm to Siren,Security Alarm,alarm,siren,alarm1.siren(),,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [0, 4, 15], [], [1, 11, 14], [17], [], [], [], [], [], [], [], [13, 23], [], [], [], [], []]",t_shockSensor1.shock == 'detected'
4,19,r-3cenruulcghqk1c,CO Detector's carbonMonoxide value is above 1,CO Detector,smoke,detected,set alarm to Siren send notification to my_phone,Security Alarm && Phone,alarm && notification,siren-notify,alarm1.siren() && notify(),,NS,Not sure,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [4, 7, 13, 19], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [9, 13, 22]]",t_carbonMonoxideDetector1.carbonMonoxideState.getValue() =='detected'
4,20,r-3cenruulcghqk1c,smoke value exceeds threshold,Smoke Detector,smoke,detected,trigger alarm AND send notification to my_phone,Security Alarm && Phone,alarm && notification,siren-notify,alarm1.siren() && notify(),,NS,Weekday,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [3, 13, 20], [11, 13, 23], [], [], [1, 7, 10, 13, 15], [], [], [], [], [2, 16, 19, 20], [], [], [], [], [], [], [], [], [], []]",t_smokeDetector1.smoke == 'detected'
4,21,r-3cenruulcghqk1c,month value is greater than 10 AND less than 4 AND my_phone is at Home,null,locationMode,home,switch Air Conditioner on AND set level to 72,Air Conditioner,thermostat,heat,thermostat1.setHeatingSetpoint(72),,NS,Anytime,"6-11,17-20,20-6",Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [], [], [], [5, 8, 18], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",location.mode == 'home'
4,22,r-3cenruulcghqk1c,Security Camera takes image of a person at night time,Security Camera,image,take,send notification to my_phone,Phone,notification,notify,notify_phone()(),,NS,Weekday,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [10, 13, 14, 17, 19], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [21], [], [], [], [], [], [], [], [], []]",t_image1.image == 'take'
4,23,r-3cenruulcghqk1c,Blood Pressure Monitor's pressure value > 130,Blood Pressure Monitor,switchLevel,greater,send notification to my_phone AND send notification to family_phone,Phone,notification,notify,notify_phone()(),,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [12, 16, 18, 21], [10, 23], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",t_switchLevel1.switchLevel > 5
4,24,r-3cenruulcghqk1c,Mode is Away,null,locationMode,away,switch off Air Conditioner AND turn on Security Camera AND Water Leak Detector AND Glass Break Detector,Air Conditioner && Security Camera && Water Leak Detector ,thermostat && switch && switch,off-on-on,thermostat1.off() && switch1.off() && switch2.off() && switch3.off(),,NS,Not sure,anytime,Scheduled-time (e.g. |  brew coffee at 7 am),"[[2, 3, 12, 14, 19], [0, 3, 9, 10], [], [], [], [], [], [], [], [], [], [1, 13, 21], [], [], [], [], [], [], [0, 9, 14, 21], [5, 19, 21], [], [], [], [], [13, 19], [], [], []]",location.mode == 'away'
5,25,r-3ixtgynsbwxup75,mode == away,null,locationMode,away,switch off all appliances except for sensors/safety appliances,Air Conditioner && Security Camera,thermostat && switch,off-off,thermostat1.off() && switch1.off(),,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [13, 19], [], [8], [], [7], [3, 21], [1, 4, 5, 12], [], [], [], [], [5, 15, 22], [], [7, 18, 23], [], [], [4, 6, 17, 19], [], [15], [], [], [], [7], [16, 17, 19, 20], [4, 9, 17, 19], [3], [7, 15, 23]]",location.mode == 'away'
5,26,r-3ixtgynsbwxup75,time == 0700,Morning,switch,on,set windowShade : open (90 degrees),Shades/Blinds,contact,open,contactSensor1.open(),time > 000 && time < 700,FD,Anytime,11-Jun,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [6, 7], [6, 8], [6, 7, 9], [], [6, 7, 8, 9], [7, 10], [], [], [], [7], [], [6, 7, 8, 10], [10], [], [6, 9], [6], [], [], [6, 8, 10], [6, 7], [], [], [], [], [], [], []]",t_switch1.switchState.getValue() == 'on'
5,27,r-3ixtgynsbwxup75,time == 1200,Noon,switch,on,set windowShade : open (45 degrees),Shades/Blinds,contact,open,contactSensor1.open(),time > 700 && time < 1200,FD,Anytime,13-Nov,Scheduled-time (e.g. |  brew coffee at 7 am),"[[11, 12], [], [12], [11, 12], [], [], [], [], [], [], [], [11, 12], [11, 12], [11], [11, 12], [11, 12], [], [], [11, 12], [11, 12], [], [11], [], [11, 12], [], [11], [], [11, 12]]",t_switch1.switchState.getValue() == 'on'
5,28,r-3ixtgynsbwxup75,time == 2300,Night,switch,on,set windowShade : close,Shades/Blinds,contact,close,contactSensor1.close(),time > 1200 && time < 2300,FD,Anytime,"13-17,17-20,20-6",Scheduled-time (e.g. |  brew coffee at 7 am),"[[15, 19, 21], [], [], [4, 14, 17], [], [16, 18, 22], [5, 16, 18], [], [3, 14, 18], [], [15, 18, 20], [15, 19, 20], [], [13, 18, 23], [13, 17, 22], [0, 13, 19], [], [], [], [5, 13, 17], [], [15, 18, 23], [], [14, 18, 21], [], [2, 13, 17], [14, 18, 22], [5, 16, 18]]",t_switch1.switchState.getValue() == 'on'
5,29,r-3ixtgynsbwxup75,if mode == home,null,locationMode,home,turn on air conditioner |  robot vacuum |  oil warmer |  etc. (all non-essential appliances except for need-based |  such as dryer |  smart TV),Air Conditioner && Robot Vacuum && Oil Warmer,thermostat && switch && switch,off-off-off,thermostat1.off() && switch1.off() && switch2.off(),,FD,Anytime,"6-11,13-17,17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[5, 6, 13, 17], [], [], [10, 13, 17, 21], [3, 7, 14, 17], [0, 9, 15, 17], [], [], [], [], [], [], [], [], [], [], [], [5, 8, 15, 18], [0, 8, 16, 19], [9, 16, 17, 21], [], [6, 16, 19, 20], [7, 15, 18, 21], [3, 8, 16, 17], [8, 15, 19, 20], [7, 13, 18, 20], [1, 7, 16, 17], [0, 9, 15, 19]]",location.mode == 'home'
5,30,r-3ixtgynsbwxup75,if time => 2200,Night,switch,on,turn on sleep monitor,Sleep Monitor,switch,on,switch1.off(),time >= 2200,FD,Anytime,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [2, 3, 4, 20], [20], [5], [], [5, 21, 23], [0, 5, 22, 23], [5], [3, 4], [], [], [], [1, 4, 5, 20, 23], [0, 22, 23], [2, 5, 20, 21], [], [], [], [], [2, 21], [], [3, 20, 21, 22], [1, 22], [], [4], [], [], []]",t_switch1.switchState.getValue() == 'on'
5,31,r-3ixtgynsbwxup75,if temperature < 60,Thermostat,temperature,lesser,turn on electric blanket,Electric Blanket,thermostat,on,thermostat1.heat(),,NS,Anytime,"17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[17, 21], [], [], [], [], [], [2, 17, 19], [3, 19], [19, 20, 21], [], [], [], [], [], [], [], [], [], [], [], [], [], [1, 17, 19, 22], [], [], [], [], []]",t_temperatureMeasurement1.currentTemperature.toInteger() < 60
5,32,r-3ixtgynsbwxup75,if pulse monitor increases a set amount,Pulse Monitor,switchLevel,greater,turn on oil warmer,Oil Warmer,switch,on,switch1.on(),,FW,Weekday,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [12, 19], [8, 21], [], [], [], [], [], [], []]",t_switchLevel1.switchLevel > 5
5,33,r-3ixtgynsbwxup75,if motionSensor is triggered OR glassBreakDetector is triggered,Motion Sensor && Glass Break Detector,motion && shock,active-detected,(Security Alarm) setAlarm(both),Security Alarm,alarm,both,alarm1.strobe(),,NS,Not sure,not sure,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [2, 17, 20, 23], [5], [], [], [], [], [], [], [], [], [], [], [5, 18], [], [], [0, 5, 7, 16], [4, 7, 10, 12], [], [], [], [6, 12], [], [], [3, 16, 19, 23], []]",t_motionSensor1.motion=='active' || t_shockSensor1.shock == 'detected'
5,34,r-3ixtgynsbwxup75,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,Smoke Detector && CO Detector && Water Leak Detector,smoke && carbonMonoxideDetector && water,detected-detected-wet,(Security Alarm) setAlarm(siren),Security Alarm,alarm,siren,alarm1.siren(),,NS,Not sure,not sure,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [8, 10, 17, 20, 23], [], [14], [], [], [2, 10, 17, 18], [], [], [], [], [], [], [], [], [], [3, 10], [], [], [], [], [], []]",t_smokeDetector1.smoke == 'detected' || t_carbonMonoxideDetector1.carbonMonoxide== 'detected' || t_waterSensor1.water== 'wet'
5,35,r-3ixtgynsbwxup75,if time > 2000,Night,switch,on,Door Lock(lock),Door Lock,lock,lock,lock1.lock(),,FD,Anytime,anytime,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [11, 12, 14, 17], [0, 9, 10, 13, 15], [3], [1, 5, 10, 17, 21], [4, 13, 18], [], [], [], [23], [], [0], [], [17], [11, 15], [], [1, 12, 13, 16], [5, 6, 16], [0, 1, 19], [11, 18, 19], [14, 15], [0, 2, 6, 14, 19], [], [], [], []]",t_switch1.switchState.getValue() == 'on'
5,36,r-3ixtgynsbwxup75,if mode is set to Vacation,null,locationMode,vacation,Prompt for Door Lock code change,Door Lock,notification,notify,notify_phone()(),,NS,Weekend,"6-11,11-13",Manually-triggered (e.g. |  a button press),"[[], [9, 10, 11], [], [], [], [], [], [], [10, 11], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",location.mode == 'vacation'
5,37,r-3ixtgynsbwxup75,if presenceSensor in bathroom is triggered,Presence Sensor,presence,present,SmartMirror: turn on |  Speaker: turn on,Smart Mirror && Speaker,switch && switch,on-on,switch1.on() && switch2.on(),,MD,Weekday,"6-11,11-13",Executed at random (e.g. |  every time I enter the room),"[[9, 12], [8, 10, 11], [7, 8, 9, 10, 11, 12], [], [6, 7, 11, 12], [8, 12], [], [], [9, 10, 11], [], [], [8, 9, 11, 12], [6, 9, 12], [6, 7, 8, 11, 12], [], [9, 11, 12], [7, 11, 12], [6, 7, 8, 10, 11, 12], [], [], [], [], [6, 9, 11, 12], [8, 11], [], [], [7, 8, 9, 10, 11, 12], [10, 11, 12]]",t_presenceSensor1.presenceState.getValue() == 'present'
6,38,r-3qkcsrg4psryx2c,a Smart Printer is idle for at least 5 minutes,Printer,switch,off,switch off the Smart Printer,Printer,switch,off,switch1.off(),smart_printer.idle_time > 5 *60,MD,Anytime,"6-11,13-17,17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [3, 9, 13, 16, 17], [], [], [], [], [], [2, 10, 14, 16, 17, 18, 22], [0, 3, 9, 13, 18, 19], [], [5, 9, 14, 15, 17], [], [], [], [3, 5, 6, 10, 16, 18], [6, 7, 13, 18, 23], [], [], [], [4, 5, 8, 9, 15, 17], [5, 7, 10, 13, 18], [], [7, 8, 15, 19, 23], [], [8, 13, 17, 22]]",t_switch1.switchState.getValue() == 'off'
6,39,r-3qkcsrg4psryx2c,a Smoke Detector battery lower than 10%,Smoke Detector,battery,lesser,warn user of low battery status,Smoke Detector,battery,notify,notify_phone()(),,NS,Not sure,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [3, 4, 5, 14], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [6, 8, 11], [1, 2, 5, 20], [], [], [], []]",t_battery1.battery< 0.1
6,40,r-3qkcsrg4psryx2c,a Smoke Detector is tampered,Smoke Detector,tamper,detected,warn user of the situation,Smoke Detector,notification,notify,notify_phone()(),,NS,Not sure,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [12, 17, 18, 20, 23], [3, 4, 10, 16], [], [], [], [], []]",t_tamperAlert1.tamper == 'detected'
6,41,r-3qkcsrg4psryx2c,a Doorbell rings,Doorbell,switch,on,switch on Security Camera,Security Camera,switch,on,switch2.off(),,FW,Anytime,"6-11,13-17,17-20",Manually-triggered (e.g. |  a button press),"[[], [], [], [], [], [], [], [], [], [], [], [], [9, 16, 18], [], [], [], [], [], [], [10, 14, 17], [], [], [], [], [], [], [], [10, 14, 19]]",t_switch1.switch== 'on'
6,42,r-3qkcsrg4psryx2c,in Away mode AND a Light Bulb is on,null && Light Bulb,locationMode && switch,away-on,switch off the Light Bulb,Light Bulb,switch,off,switch1.off(),,FD,Anytime,"6-11,17-20",Executed at random (e.g. |  every time I enter the room),"[[], [9, 17, 18], [], [9, 17], [], [8, 19], [8, 10, 19], [7, 10, 17], [], [], [8, 10, 18], [7, 18], [7, 19], [7, 18], [], [], [7, 8, 18], [], [6, 18], [10, 17, 19], [], [], [6, 9, 17], [], [8, 18, 19], [7, 17], [7, 17], []]",location.mode == 'away' && t_switch1.state == 'on'
6,43,r-3qkcsrg4psryx2c,it's 12:00 a.m. AND an Air Conditioner is on,Air Conditioner,thermostat,auto,switch off the Air Conditioner,Air Conditioner,thermostat,off,thermostat1.off(),"time == 1200 && air_conditioner.state == ""on""",FD,Anytime,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [12], [12], [], [], [], [12], [], [], [12], [12], [], [12], [], [], [], [], [], [], [12], [], [12], [], [], [], [12], [12]]",t_switch1.switchState.getValue() == 'on'
6,44,r-3qkcsrg4psryx2c,in Away mode,null,locationMode,away,lock the Door Lock,Door Lock,lock,lock,lock1.lock(),,FD,Anytime,"6-11,17-20",Executed at random (e.g. |  every time I enter the room),"[[7, 9, 19], [], [], [], [], [8, 17], [], [], [9, 17, 18], [], [], [9, 19], [], [7, 9, 17], [6, 17, 19], [], [7, 17], [7, 18], [7, 18], [6, 18], [6, 10, 17, 18], [], [10, 19], [7, 9, 17, 19], [7, 18], [], [8, 18], []]",location.mode == 'away'
6,45,r-3qkcsrg4psryx2c,in Home mode,null,locationMode,home,setAirConditionerMode(auto),Air Conditioner,thermostat,auto,thermostat1.auto(),,FD,Anytime,17-20,Executed at random (e.g. |  every time I enter the room),"[[], [18, 19], [], [], [], [17], [17, 18], [18, 19], [], [18, 19], [], [], [], [17, 18, 19], [19], [19], [17, 18, 19], [], [], [], [], [], [17, 18], [], [], [], [17, 18], []]",location.mode == 'home'
6,46,r-3qkcsrg4psryx2c,it's 12:00 a.m.,Midnight,switch,on,setMute(Audio_Player),Audio Player,switch,off,switch1.off(),time == 1200,FD,Anytime,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [12], [12], [12], [], [12], [12], [12], [12], [], [], [12], [12], [], [0], [12], [12], [], [], [12], [12], [12], [], [], [12], [], [], []]",t_switch1.switchState.getValue() == 'on'
7,47,r-e5i5j0vocc4acet,carbonMonoxide value of CO Detector is > 0,CO Detector,smoke,detected,execute alarm (both mode by default) |  call emergency services |  and alert me via phone notification,Security Alarm && Phone,alarm && notification,both-notify,alarm1.strobe() && notify_phone()(),,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[0, 8, 9, 15, 16], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [5, 7, 10, 15, 18], [], [], [], [], [], [2, 23], [], [], [20], [6, 10, 19], [], []]",t_carbonMonoxideDetector1.carbonMonoxideState.getValue() =='detected'
